"","account_id","client_id","district_id.x","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","disp_id","type","district_id.y","frequency","account_age"
"1",1,1,18,46,"F","Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910,1,"OWNER",18,"monthly issuance",21
"2",2,2,1,71,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,2,"OWNER",1,"monthly issuance",23
"3",2,3,1,76,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,3,"DISPONENT",1,"monthly issuance",23
"4",3,4,5,60,"M","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,4,"OWNER",5,"monthly issuance",19
"5",3,5,5,56,"F","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,5,"DISPONENT",5,"monthly issuance",19
"6",4,6,12,97,"M","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,6,"OWNER",12,"monthly issuance",20
"7",5,7,15,87,"M","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,7,"OWNER",15,"monthly issuance",19
"8",6,8,51,78,"F","Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839,8,"OWNER",51,"monthly issuance",22
"9",7,9,60,81,"M","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,9,"OWNER",60,"monthly issuance",20
"10",8,10,57,73,"M","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,10,"OWNER",57,"monthly issuance",21
"11",8,11,57,66,"F","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,11,"DISPONENT",57,"monthly issuance",21
"12",9,12,40,35,"M","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,12,"OWNER",70,"monthly issuance",23
"13",10,13,54,42,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,13,"OWNER",54,"monthly issuance",20
"14",11,14,76,74,"F","Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807,14,"OWNER",76,"monthly issuance",21
"15",12,15,21,98,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,15,"OWNER",21,"monthly issuance",19
"16",12,16,21,97,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,16,"DISPONENT",21,"monthly issuance",19
"17",13,17,76,82,"M","Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807,17,"OWNER",76,"monthly issuance",19
"18",13,18,76,85,"F","Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807,18,"DISPONENT",76,"monthly issuance",19
"19",14,19,47,74,"M","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,19,"OWNER",47,"monthly issuance",20
